id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence
273721,1.57553E+12,1.57553E+12,1686166686,1686166686,other,57727,space,0.99973,13,7,0,0,1,0,1,0,1,119825,female,1,0,0,other,6,0.99754,5,commented,male,1,0,1,marketing,5,0.99962,129104,commented,female,1,0,0,marketing,4,0.995,4,commented,male,1,0,1,marketing,3,0.99867,41,commented,male,1,0,1,sales,2,0.99828,7,commented,male,1,0,1,marketing,1,0.99886
273985,1.57558E+12,1.57558E+12,1634144551,1634144551,other,3201,space,0.99992,4,0,0,0,0,0,0,0,1,119825,female,1,0,0,other,6,0.99754,122534,liked,male,1,0,1,marketing,5,0.99678,10,liked,male,1,0,1,marketing,4,0.99902,7,liked,male,1,0,1,marketing,3,0.99886,5,liked,male,1,0,1,marketing,2,0.99962,22636,viewed,male,0,0,1,other,1,0.23077
273750,1.57554E+12,1.57554E+12,1681664278,1681664278,other,57727,space,0.99973,2,5,0,0,1,0,1,0,1,129104,female,1,0,0,marketing,6,0.995,109375,commented,male,1,0,1,marketing,5,0.99715,129104,commented,female,1,0,0,marketing,4,0.995,4,commented,male,1,0,1,marketing,3,0.99867,108025,commented,male,1,0,0,marketing,2,0.99891,7,commented,male,1,0,1,marketing,1,0.99886
273302,1.57537E+12,1.57537E+12,1852590752,1852590752,other,126877,space,0.5,0,2,0,0,0,0,1,0,0,7,male,1,0,1,marketing,6,0.99886,108025,commented,male,1,0,0,marketing,5,0.99891,7,commented,male,1,0,1,marketing,4,0.99886,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077
273897,1.57556E+12,1.57556E+12,1661083270,1661083270,other,57727,space,0.99973,4,5,0,0,0,0,1,0,1,109375,male,1,0,1,marketing,6,0.99715,108025,commented,male,1,0,0,marketing,5,0.99891,5,commented,male,1,0,1,marketing,4,0.99962,129104,commented,female,1,0,0,marketing,3,0.995,146,commented,male,1,0,1,marketing,2,0.99899,4,commented,male,1,0,1,marketing,1,0.99867
134684,1.48213E+12,1.48243E+12,95086643315,94792419536,other,10066,space,0.1,0,1,0,0,0,0,1,0,0,27,male,0,0,1,other,6,0.23077,62,commented,male,1,0,1,marketing,5,0.99586,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
258270,1.56475E+12,1.56475E+12,12466731949,12466731949,other,57727,space,0.99973,10,3,0,0,0,0,1,0,1,108025,male,1,0,0,marketing,6,0.99891,108025,commented,male,1,0,0,marketing,5,0.99891,146,commented,male,1,0,1,marketing,4,0.99899,117235,commented,male,1,0,1,marketing,3,0.99904,126985,liked,male,0,0,1,other,2,0.99466,128099,liked,male,0,0,0,other,1,0.96503
273965,1.57557E+12,1.57557E+12,1651161544,1651161544,forum,111913,space,0.99977,0,1,0,0,0,0,0,0,0,66,male,1,0,1,other,6,0.99693,13659,commented,male,0,0,0,other,5,0.99756,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
269546,1.57321E+12,1.57321E+12,4011189723,4011189723,wiki,57727,space,0.99973,13,3,0,0,0,0,1,0,1,25,male,1,0,1,marketing,6,0.99433,4,commented,male,1,0,1,marketing,5,0.99867,25,commented,male,1,0,1,marketing,4,0.99433,146,commented,male,1,0,1,marketing,3,0.99899,13,liked,male,1,0,1,marketing,2,0.99895,122536,liked,male,1,0,0,engineering,1,0.99552
273915,1.57556E+12,1.57556E+12,1657970578,1657970578,other,57727,space,0.99973,0,1,0,0,0,0,1,0,0,17,female,1,0,1,marketing,6,0.99896,17,commented,female,1,0,1,marketing,5,0.99896,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
273956,1.57557E+12,1.57557E+12,1653137480,1653137480,wiki,50929,space,0.99882,1,0,0,0,0,0,0,0,1,5,male,1,0,1,marketing,6,0.99962,115077,liked,male,1,0,1,marketing,5,0.99809,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
273949,1.57557E+12,1.57557E+12,1653253737,1653253737,wiki,50929,space,0.99882,1,1,0,0,0,0,1,0,1,5,male,1,0,1,marketing,6,0.99962,5,commented,male,1,0,1,marketing,5,0.99962,115077,liked,male,1,0,1,marketing,4,0.99809,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077
273951,1.57557E+12,1.57557E+12,1653197315,1653197315,wiki,50929,space,0.99882,2,0,0,0,0,0,0,0,1,5,male,1,0,1,marketing,6,0.99962,115077,liked,male,1,0,1,marketing,5,0.99809,4,liked,male,1,0,1,marketing,4,0.99867,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077
273934,1.57556E+12,1.57556E+12,1654972730,1654972730,forum,111913,space,0.99977,1,1,0,0,0,0,0,0,1,124733,female,1,0,1,other,6,0.99489,13659,commented,male,0,0,0,other,5,0.99756,115077,liked,male,1,0,1,marketing,4,0.99809,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077
273698,1.57548E+12,1.57548E+12,1737337109,1737337109,other,3201,space,0.99992,9,4,0,0,0,0,1,0,1,13,male,1,0,1,marketing,6,0.99895,62,commented,male,1,0,1,marketing,5,0.99586,78,commented,female,1,0,1,marketing,4,0.99808,13,commented,male,1,0,1,marketing,3,0.99895,122535,commented,male,1,0,0,marketing,2,0.99301,119825,liked,female,1,0,0,other,1,0.99754
273919,1.57556E+12,1.57556E+12,1656749695,1656749695,other,27310,space,0.9998,1,0,0,0,0,0,0,0,1,122535,male,1,0,0,marketing,6,0.99301,5,liked,male,1,0,1,marketing,5,0.99962,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
